country,creators,duration,episodes,genre,language,original_title,popularity,rating,seasons,stars,synopsis,title,year
United States,Taylor Sheridan,0,10,"Drama,Western,Back to top",English,,135,8.7,1 Season,"Tim McGraw,Sam Elliott,Faith Hill,Isabel May,LaMonica Garrett,Audie Rick,Marc Rissmann,James Landry Hébert,Gratiela Brancusi,Anna Fiamora,Malcolm Stephenson,Amanda Jaros,Jordan Walker Ross,Stephen Austin Long,Konstantin Melikhov,Eric Nelsen,Noah Le Gros,Josef Bette","The post-Civil war generation of the Dutton family travels to Texas, and joins a wagon train undertaking the arduous journey west to Oregon, before settling in Montana to establish what would eventually become the Yellowstone Ranch.",1883,2021–2022
Japan,Masashi Kishimoto,24,501,"Animation,Action,Adventure,Back to top",Japanese,Original title: Naruto: Shippûden,395,8.7,,"Alexandre Crepet,Junko Takeuchi,Maile Flanagan,Chie Nakamura,Kate Higgins,Dave Wittenberg,Kazuhiko Inoue,Kyle Hebert,Noriaki Sugiyama,Yuri Lowenthal,Masako Katsuki,Debi Mae West,Colleen O'Shaughnessey,Steve Blum,Stephanie Sheh,Shôtarô Morikubo,Tom Gibis,Rikiya Koyama","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",Naruto: Shippuden,2007–2017
United States,Matthew Weiner,0,92,"Drama,Back to top",English,,225,8.7,7,"Jon Hamm,Elisabeth Moss,Vincent Kartheiser,January Jones,Christina Hendricks,Aaron Staton,Rich Sommer,John Slattery,Kiernan Shipka,Robert Morse,Christopher Stanley,Jessica Paré,Jay R. Ferguson,Michael Gladis,Bryan Batt,Alison Brie,Jared Harris,Kevin Rahm","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",Mad Men,2007–2015
United Kingdom,Jed Mercurio,1,37,"Crime,Drama,Mystery,Back to top",English,,410,8.7,7,"Martin Compston,Vicky McClure,Adrian Dunbar,Craig Parkinson,Gregory Piper,Aiysha Hart,Maya Sondhi,Keeley Hawes,Nigel Boyle,Polly Walker,Paul Higgins,Anneika Rose,Neil Morrissey,Tomi May,Ace Bhatti,Elizabeth Rider,Owen Teale,Kelly Macdonald","Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",Line of Duty,2012–2021
United Kingdom,Armando Iannucci,29,24,"Comedy,Back to top",English,,"1,828",8.7,4,"Chris Addison,James Smith,Peter Capaldi,Joanna Scanlan,Rebecca Front,Roger Allam,Will Smith,Olivia Poulet,Vincent Franklin,Ben Willbond,Polly Kemp,Lucinda Raikes,Chris Langham,Justin Edwards,Tony Gardner,Samantha Harrington,Geoffrey Streatfeild,Alex Macqueen",The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,The Thick of It,2005–2012
United States,Mitchell Hurwitz,22,84,"Comedy,Back to top",English,,284,8.7,5,"Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett,Alia Shawkat,Tony Hale,David Cross,Jeffrey Tambor,Jessica Walter,Ron Howard,Henry Winkler,John Beard,Liza Minnelli,Mae Whitman,Justin Grant Wade,Ed Begley Jr.,Isla Fisher,Maria Bamford","Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",Arrested Development,2003–2019
United States,David Shore,0,176,"Drama,Mystery,Back to top",English,Original title: House M.D.,34,8.7,8,"Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer,Lisa Edelstein,Bobbin Bergstrom,Jennifer Morrison,Peter Jacobson,Olivia Wilde,Kal Penn,Charlyne Yi,Odette Annable,Anne Dudek,Jennifer Crystal Foley,Amber Tamblyn,Liz Benoit,Stephanie Venditto,Sela Ward","Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way.",House,2004–2012
Japan,Kentaro Miura,23,25,"Animation,Action,Adventure,Back to top","Japanese,English",Original title: Kenpuu Denki Berserk,650,8.7,1 Season,"Marc Diraison,Nobutoshi Canna,Carrie Keranen,Kevin T. Collins,Unshô Ishizuka,Carla Tassara,Jon Avner,Yûko Miyamura,Akira Ishida,Tomohiro Nishimura,Toshiyuki Morikawa,Christopher Kromer,Akiko Yajima,Marc Sebastian,Masuo Amada,Jeff Ward,Michelle Newman,Eiji Sekiguchi","Guts, a wandering mercenary, joins the Band of the Hawk after being defeated in a duel by Griffith, the group's leader and founder. Together, they dominate every battle, but something menacing lurks in the shadows.",Berserk,1997–1998
United States,Dan Erickson,55,19,"Drama,Mystery,Sci-Fi,Back to top",English,,105,8.7,2,"Adam Scott,Zach Cherry,Britt Lower,Tramell Tillman,Jen Tullock,Dichen Lachman,Michael Chernus,John Turturro,Christopher Walken,Patricia Arquette,Ólafur Darri Ólafsson,Alia Shawkat,Gwendoline Christie,Merritt Wever,John Noble,Robby Benson,Bob Balaban,Stefano Carannante","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",Severance,2022– 
United Kingdom,Julian Fellowes,0,52,"Drama,Romance,Back to top",English,,171,8.7,6,"Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyle,Laura Carmichael,Jim Carter,Michelle Dockery,Joanne Froggatt,Robert James-Collier,Sophie McShera,Lesley Nicol,Maggie Smith,Penelope Wilton,Kevin Doyle,Allen Leech,David Robb,Siobhan Finneran,Dan Stevens",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,Downton Abbey,2010–2015
United States,James L. Brooks,22,764,"Animation,Comedy,Back to top",English,,131,8.7,36,"Dan Castellaneta,Nancy Cartwright,Harry Shearer,Julie Kavner,Yeardley Smith,Hank Azaria,Pamela Hayden,Tress MacNeille,Chris Edgerly,Maggie Roswell,Karl Wiedergott,Russi Taylor,Marcia Wallace,Kevin Michael Richardson,Phil Hartman,Alex Désert,Joe Mantegna,Grey Griffin",The satiric adventures of a working-class family in the misfit city of Springfield.,The Simpsons,1989–2025
United States,Shawn Ryan,47,89,"Crime,Drama,Thriller,Back to top",English,,513,8.7,7,"Michael Chiklis,Catherine Dent,Walton Goggins,Michael Jace,Jay Karnes,Benito Martinez,CCH Pounder,Cathy Cahlin Ryan,David Rees Snell,Kenny Johnson,David Marciano,Autumn Chiklis,Paula Garcés,Michele Hicks,Melanie Myers,Joel Rosenthal,Matt Corboy,Chaney Kley",Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.,The Shield,2002–2008
United Kingdom,Phoebe Waller-Bridge,0,12,"Comedy,Drama,Back to top",English,,389,8.7,2,"Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,Bill Paterson,Brett Gelman,Andrew Scott,Hugh Skinner,Ben Aldridge,Hugh Dennis,Jamie Demetriou,Kae Alexander,Anthony Welsh,Ray Fearon,Christian Hillborg,David Hargreaves,Angus Imrie,Christopher Colquhoun",Series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,Fleabag,2016–2019
United States,Glen A. Larson,44,74,"Action,Adventure,Drama,Back to top",English,,469,8.7,4,"Edward James Olmos,Mary McDonnell,Jamie Bamber,James Callis,Tricia Helfer,Grace Park,Katee Sackhoff,Michael Hogan,Aaron Douglas,Tahmoh Penikett,Alessandro Juliani,Kandyse McClure,Bodie Olmos,Donnelly Rhodes,Michael Trucco,Nicki Clyne,Leah Cairns,Rekha Sharma","When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",Battlestar Galactica,2004–2009
Japan,Tite Kubo,24,27,"Animation,Action,Adventure,Back to top",Japanese,Original title: Bleach: Sennen Kessen-hen,794,9.0,2,"Masakazu Morita,Johnny Yong Bosch,Takayuki Sugô,Richard Epcar,Ryûsei Nakao,Terrence Stone,Yûichirô Umehara,Robbie Daymond,Stephanie Sheh,Doug Erholtz,Akio Ôtsuka,Shin'ichirô Miki,Neil Kaplan,Steve Kramer,Noriaki Sugiyama,Kentarô Itô,Keijin Okuda,Aleks Le","The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.",Bleach: Thousand-Year Blood War,2022– 
United States,Michael Green,0,9,"Animation,Action,Adventure,Back to top",English,,173,8.7,2,"Maya Erskine,George Takei,Masi Oka,Brenda Song,Darren Barnet,Randall Park,Kenneth Branagh,Cary-Hiroyuki Tagawa,Gedde Watanabe,Patrick Gallagher,Eric Bauza,Clyde Kusatsu,Ming-Na Wen,Keone Young,Marcus Choi,Ann Harada,Orli Mariko Green,Judah Green","Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.",Blue Eye Samurai,2023
United States,Eric Kripke,1,32,"Action,Comedy,Crime,Back to top",English,,41,8.7,4,"Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty,Jessie T. Usher,Laz Alonso,Chace Crawford,Tomer Capone,Karen Fukuhara,Nathan Mitchell,Colby Minifie,Dominique McElligott,Claudia Doumit,Cameron Crovetti,Nneka Elliott,Laila Robins,Aya Cash,Katy Breier",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,The Boys,2019– 
Germany,Baran bo Odar,0,26,"Crime,Drama,Mystery,Back to top",German,,199,8.7,3,"Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,Jördis Triebel,Andreas Pietschmann,Stephan Kampwirth,Paul Lux,Oliver Masucci,Moritz Jahn,Peter Benedict,Gina Stiebitz,Deborah Kaufmann,Daan Lennard Liebrenz,Julika Jenkins,Carlotta von Falkenhayn,Dietrich Hollinderbäumer,Mark Waschke","A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",Dark,2017–2020
Japan,,24,26,"Animation,Comedy,Drama,Back to top","Japanese,English",,"1,246",8.8,1 Season,"Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch,J. Michael Tatum,Trina Nishimura,Tomokazu Seki,Tyson Rinehart,Cherami Leigh,Yukari Tamura,Saori Gotô,Yû Kobayashi,Masaki Terasoma,Jessica Cavanagh,Christopher Sabat,Lindsay Seidel,Haruko Momoi,Ayano Yamamoto","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",Steins;Gate,2011–2015
United States,Tom Fontana,55,56,"Crime,Drama,Thriller,Back to top",English,,510,8.7,6,"Ernie Hudson,J.K. Simmons,Lee Tergesen,Dean Winters,George Morfogen,Terry Kinney,Rita Moreno,Harold Perrineau,Eamonn Walker,Craig muMs Grant,Luna Lauren Velez,Granville Adams,Tom Mardirosian,Kirk Acevedo,BD Wong,Chuck Zito,Philip Scozzarella,Scott William Winters",A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,Oz,1997–2003
United Kingdom,Bruno Heller,0,22,"Action,Drama,Romance,Back to top",English,,370,8.7,2,"Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,James Purefoy,Ian McNeice,Coral Amiga,Lindsay Duncan,Lidia Biondi,Tobias Menzies,Nicholas Woodeson,David Bamber,Chiara Mastalli,Manfredi Aliquo,Indira Varma,Suzanne Bertish,Max Pirkis,Lee Boardman",A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,Rome,2005–2007
India,,0,24,"Comedy,Drama,Back to top",Hindi,,"1,192",8.9,3,"Jitendra Kumar,Raghubir Yadav,Neena Gupta,Chandan Roy,Faisal Malik,Sanvikaa,Durgesh Kumar,Biswapati Sarkar,Mubarak Khan,Govind Lobhani,Kamal Rai,Bal Mukund Rai,Salim Ansari,Mohd. Shakir,Dinesh Tiwaru,Kailash Karoshiya,Subhendu Chakraborty,Sushil Tandon","A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",Panchayat,2020– 
United States,Alan Ball,1,63,"Comedy,Drama,Back to top",English,,215,8.7,5,"Peter Krause,Michael C. Hall,Frances Conroy,Lauren Ambrose,Freddy Rodríguez,Mathew St. Patrick,Rachel Griffiths,Justina Machado,Jeremy Sisto,Brenna Tosh,Bronwyn Tosh,James Cromwell,Lili Taylor,Ben Foster,Joanna Cassidy,Richard Jenkins,Giancarlo Rodriguez,Ed O'Ross",A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,Six Feet Under,2001–2005
Canada,Neil Druckmann,50,11,"Action,Adventure,Drama,Back to top","English,Indonesian",,77,8.7,2,"Pedro Pascal,Bella Ramsey,Anna Torv,Gabriel Luna,Lamar Johnson,Melanie Lynskey,Nico Parker,Merle Dandridge,Keivonn Woodard,Jeffrey Pierce,John Getz,Samuel Hoeksema,Olivier Ross-Parent,Rutina Wesley,Storm Reid,Scott Shepherd,Ashley Johnson,Nick Offerman","After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",The Last of Us,2023– 
United Kingdom,Steven Knight,0,36,"Crime,Drama,Back to top","English,Romanian,Irish Gaelic,Italian,Yiddish,French",,40,8.8,6,"Cillian Murphy,Paul Anderson,Sophie Rundle,Helen McCrory,Ned Dennehy,Finn Cole,Natasha O'Keeffe,Ian Peck,Harry Kirton,Packy Lee,Joe Cole,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Benjamin Zephaniah,Tom Hardy,Jordan Bolger","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",Peaky Blinders,2013–2022
India,Shreyansh Pandey,24,16,"Comedy,Drama,Family,Back to top",Hindi,,"3,305",9.1,4,"Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta,Harsh Mayar,Shivankit Singh Parihar,Sunita Rajwar,Saad Bilgrami,Deepak Kumar Mishra,Sachin Chaudhary,Bilal Khan,Gaurav Sarathe,Abhishake Jha,Amar Singh Parihar,Ashwini,Stuti Tiwari,Vishwanath Chatterjee,Moazzam Ahmed,Kirti Sinha","Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",Gullak,2019– 
India,Saurabh Khanna,0,11,"Comedy,Drama,Back to top",Hindi,,"1,784",9.0,3,"Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Revathi Pillai,Urvi Singh,Harish Peddinti,Ahsaas Channa,Sameer Saxena,Vaibhav Thakkar,Arun Kumar,Abhishake Jha,Sachin Vidrohi,Op Jangid,Jyoti Gauba,Rajesh Kumar,Abhaya Sharma,Jaiti Khera","Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",Kota Factory,2019–2021
Japan,,24,48,"Animation,Action,Adventure,Back to top","Japanese,Hindi,English",,407,8.8,2,"Yûto Uemura,Mike Haimoto,Shinya Takahashi,Alejandro Saab,Hiroki Gotô,Aleks Le,Kaiji Tang,Michael C. Pizzuto,Tsuguo Mogami,Kira Buckland,Frank Todaro,Tony Oliver,Kenshô Ono,Jamieson Price,Kirk Thornton,Kyle Hebert,Naoya Uchida,J. Michael Tatum","Following a tragedy, Thorfinn embarks on a journey with the man responsible for it to take his life in a duel as a true and honorable warrior to pay homage.",Vinland Saga,2019–2023
United States,Katie Krentz,11,10,"Animation,Short,Adventure,Back to top",English,,"1,504",8.8,1 Season,"Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloyd,Samuel Ramey,Jack Jones,John Cleese,Emily Brundige,Shirley Jones,Fred Stoller,Cole Sanchez,Sam Marin,Chris Isaak,Janet Klein,Tim Curry,Bebe Neuwirth,Noureen DeWulf,Deborah Voigt",Two brothers find themselves lost in a mysterious land and try to find their way home.,Over the Garden Wall,2014
United States,Trey Parker,22,330,"Animation,Comedy,Back to top",English,,163,8.7,30,"Trey Parker,Matt Stone,Isaac Hayes,Mona Marshall,April Stewart,Adrien Beard,Eliza Schneider,Jennifer Howell,Jessica Makinson,Mary Kay Bergman,Betty Boogie Parker,Omaira Coromoto Rivero,Vernon Chatman,Kyle McCulloch,John 'Nancy' Hansen,Elisa Gabrielli,Kimberly Brooks,Jonathan Kimmel","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",South Park,1997– 
United States,Brendan Hunt,0,34,"Comedy,Drama,Sport,Back to top",English,,65,8.8,3,"Jason Sudeikis,Hannah Waddingham,Jeremy Swift,Phil Dunster,Brett Goldstein,Brendan Hunt,Nick Mohammed,Toheeb Jimoh,Juno Temple,Kola Bokinni,Billy Harris,Stephen Manas,Cristo Fernández,Moe Jeudy-Lamour,Annette Badland,Moe Hashim,David Elsendoorn,Adam Colborne","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.",Ted Lasso,2020–2023
United Kingdom,,9,13,"Biography,Drama,History,Back to top","English,German",,"1,700",8.8,1 Season,"Derek Jacobi,John Hurt,Siân Phillips,Brian Blessed,George Baker,Margaret Tyzack,James Faulkner,Patricia Quinn,Patrick Stewart,Fiona Walker,Kevin McNally,Bernard Hepton,Sheila White,John Cater,Frances White,David Robb,Freda Dowie,Roger Bizley","The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.","I, Claudius",1976
United Kingdom,Charlie Brooker,1,33,"Drama,Mystery,Sci-Fi,Back to top",English,,60,8.7,7,"Wunmi Mosaku,Monica Dolan,Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Aaron Paul,Anjana Vasan,Kenneth Collard,Joshua James,Beatrice Robertson-Jones,Charles Babalola,Toby Kebbell,Daniel Kaluuya,Rory Kinnear,Hayley Atwell,Lenora Crichlow,Daniel Rigby,Jon Hamm","Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the modern world.",Black Mirror,2011– 
South Korea,,30,20,"Comedy,Drama,Family,Back to top",Korean,Original title: Eung-dab-ha-ra 1988,"1,988",9.1,1 Season,"Lee Hyeri,Go Kyung-pyo,Ryu Jun-Yeol,Park Bo-gum,Lee Dong-hwi,Ryu Hye-young,Sung Dong-il,Lee Il-hwa,Kim Seong-gyoon,Ra Mi-ran,Kim Sun-young,Ahn Jae-hong,Choi Moo-seong,Choi Sung-won,Yoo Jae-myung,Lee Mi-yeon,Kim Ju-hyuk,Jeon Mi-seon","Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul in 1988, lean on each other to survive their challenging teen years and set a path for their futures.",Reply 1988,2015–2016
United States,Mark Frost,0,30,"Crime,Drama,Mystery,Back to top","English,Icelandic,Afrikaans,Norwegian",,221,8.8,2,"Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,Richard Beymer,Lara Flynn Boyle,Sherilyn Fenn,Warren Frost,Peggy Lipton,James Marshall,Everett McGill,Jack Nance,Joan Chen,Kimmy Robertson,Michael Horse,Piper Laurie,Harry Goaz,Eric DaRe",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,Twin Peaks,1990–1991
Japan,,24,291,"Animation,Action,Adventure,Back to top",Japanese,Original title: Dragon Ball Z: Doragon bôru zetto,"1,513",8.8,1 Season,"Jôji Yanami,Kyle Hebert,Masako Nozawa,Sean Schemmel,Christopher Sabat,Mayumi Tanaka,Sonny Strait,Stephanie Nadolny,Toshio Furukawa,Ryô Horikawa,Hiromi Tsuru,Tiffany Vollmer,Mike McFarland,Cynthia Cranz,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Kusao,Tôru Furuya","The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.",Dragon Ball Z,1989–1996
Japan,,24,277,"Animation,Action,Adventure,Back to top","Japanese,English",,287,8.8,16,"Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,Terry Klassen,Brian Drummond,Sonny Strait,Stephanie Nadolny,Don Brown,Tiffany Vollmer,Dale Kelly,Cathy Weseluck,Kyle Hebert,Michael Dobson,Kirby Morrow,Jillian Michaels,Ted Cole,Cynthia Cranz","With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",Dragon Ball Z,1989–1996
United States,Neal Brennan,22,33,"Comedy,Music,Back to top",English,,"2,950",8.8,3,"Dave Chappelle,Donnell Rawlings,Rudy Rush,Charlie Murphy,Neal Brennan,Yasiin Bey,Randy Pearlstein,Melle Powers,Greer Barnes,Blaire Reinhard,Yoshio Mita,Paul Mooney,Guillermo Diaz,William Bogert,Sophina Brown,Questlove,Bryan Olsen,Bill Burr",Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,Chappelle's Show,2003–2006
United States,Carlo Bernard,49,30,"Biography,Crime,Drama,Back to top","English,Spanish",,264,8.8,3,"Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann,Paulina Gaitan,Juan Murcia,Jorge Monterrosa,Damián Alcázar,Francisco Denis,Raúl Méndez,Juan Sebastián Calero,Paulina García,Diego Cataño,Brett Cullen,Julián Díaz,Joanna Christie,Maurice Compte,María José Sanchez Real","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",Narcos,2015–2017
United Kingdom,,55,6,"Comedy,War,Back to top",English,,"3,643",8.8,1 Season,"Rowan Atkinson,Tony Robinson,Stephen Fry,Hugh Laurie,Tim McInnerny,Gabrielle Glaister,Miranda Richardson,Rik Mayall,Geoffrey Palmer,Jeremy Hardy,Adrian Edmondson,Stephen Frost,Bill Wallis,Hugo Blick,Lee Cornes,Paul Mark Elliott,Jeremy Gittins,Russell Brook","Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",Blackadder Goes Forth,1989
United States,Paul Feig,0,18,"Comedy,Drama,Back to top",English,,629,8.8,1 Season,"Linda Cardellini,John Francis Daley,James Franco,Samm Levine,Seth Rogen,Jason Segel,Martin Starr,Becky Ann Baker,Joe Flaherty,Busy Philipps,Jerome Elston Scott,Steve Bannos,Dave Allen,Sarah Hagan,Jerry Messing,Natasha Melnick,Stephen Lea Sheppard,Chauncey Leopardi",A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,Freaks and Geeks,1999–2000
Turkey,,20,144,"Adventure,Comedy,Drama,Back to top",Turkish,Original title: Leyla ile Mecnun,"1,866",9.1,7,"Ali Atay,Serkan Keskin,Osman Sonant,Ahmet Mümtaz Taylan,Cengiz Bozkurt,Köksal Engür,Ege Tanman,Nalan Kuruçim,Engin Günay,Neslihan Aker,Istar Gökseven,Sebahat Adalar,Güliz Gençoglu,Sarp Aydinoglu,Mustafa Asik,Mehmet Usta,Onursal Yildirim,Ipek Türktan","It is an unique and heartwarming show follows the extraordinary journey of a couple named Leyla and Mecnun. With Ali Atay portraying Mecnun and Ezgi Asaroglu as Leyla, the series has garnered a massive fan base and critical acclaim.",Leyla and Mecnun,2011–2023
United Kingdom,,30,12,"Comedy,Back to top","English,Spanish",,"1,724",8.8,2,"John Cleese,Prunella Scales,Andrew Sachs,Connie Booth,Ballard Berkeley,Gilly Flower,Renee Roberts,Brian Hall,Terence Conoley,Elizabeth Benson,George Lee,Bernard Cribbins,Michael Gwynn,André Maranne,Geoffrey Palmer,Nicky Henson,Bruce Boa,Joan Sanderson","Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",Fawlty Towers,1975–1979
United States,Raphael Bob-Waksberg,0,77,"Animation,Comedy,Drama,Back to top",English,,270,8.8,6,"Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,Paul F. Tompkins,Adam Conover,Keith Olbermann,Diedrich Bader,Kristen Schaal,Patton Oswalt,Raphael Bob-Waksberg,Aparna Nancherla,J.K. Simmons,Stanley Tucci,Wendie Malick,Angela Bassett,Rami Malek,Stephanie Beatriz","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",BoJack Horseman,2014–2020
United Kingdom,,27,6,"Drama,Romance,Back to top",English,,756,8.8,1 Season,"Colin Firth,Jennifer Ehle,Susannah Harker,Julia Sawalha,Alison Steadman,Benjamin Whitrow,Crispin Bonham-Carter,Polly Maberly,Lucy Briers,Anna Chancellor,Lucy Robinson,Adrian Lukis,David Bamber,Lucy Scott,Lucy Davis,Emilia Fox,Marlene Sidaway,Barbara Leigh-Hunt","While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",Pride and Prejudice,1995
Japan,Eiichirô Oda,24,1108,"Animation,Action,Adventure,Back to top",Japanese,Original title: One Piece: Wan pîsu,96,9.0,,"Mayumi Tanaka,Akemi Okamura,Laurent Vernin,Tony Beck,Kazuya Nakai,Kappei Yamaguchi,Hiroaki Hirata,Ikue Ôtani,Colleen Clinkenbeard,Yuriko Yamaguchi,Mahito Ôba,Kazuki Yao,Chikao Ôtsuka,Luci Christian,Christopher Sabat,Sonny Strait,Eric Vale,Chô","Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece.""",One Piece,1999– 
United States,Larry David,28,120,"Comedy,Back to top",English,,26,8.8,12,"Larry David,Cheryl Hines,Jeff Garlin,Susie Essman,J.B. Smoove,Richard Lewis,Ted Danson,Bob Einstein,Ashly Holloway,Shelley Berman,Antoinette Spolar,Vivica A. Fox,Vince Vaughn,Ellia English,Carla Jeffery,Nick Nervies,Ann Ryerson,Wanda Sykes",Larry David stars as an over-the-top version of himself in this comedy series that shows how seemingly trivial details of day-to-day life can precipitate a catastrophic chain of events.,Curb Your Enthusiasm,2000–2024
West Germany,,53,3,"Drama,War,Back to top","German,French,English",,"2,776",8.8,1 Season,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Martin Hemme",A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,Das Boot,1985
United States,Aaron Sorkin,44,155,"Drama,Back to top",English,,268,8.9,7,"Martin Sheen,Rob Lowe,Allison Janney,John Spencer,Bradley Whitford,Janel Moloney,Richard Schiff,Dulé Hill,NiCole Robinson,Melissa Fitzgerald,Joshua Malina,Stockard Channing,Kim Webster,Kris Murphy,Timothy Davis-Reed,Mary McCormack,William Duffy,Peter James Smith",Inside the lives of staffers in the West Wing of the White House.,The West Wing,1999–2006
United Kingdom,Graham Chapman,30,45,"Comedy,Back to top","English,Arabic,French,German,Italian,Mandarin,Spanish",,"2,461",8.8,4,"Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,Carol Cleveland,John Hughman,Monty Python,Ian Davidson,The Fred Tomlinson Singers,Frank Lester,Bob Raymond,Connie Booth,Lyn Ashley,Rita Davies,Maureen Flanagan,Peter Brett",The original surreal sketch comedy showcase for the Monty Python troupe.,Monty Python's Flying Circus,1969–1974
