country,creators,duration,episodes,genre,language,original_title,popularity,rating,seasons,stars,synopsis,title,year
United States,Greg Weisman,23,102,"Animation,Action,Adventure,Back to top",English,,"1,315",8.6,4,"Nolan North,Danica McKellar,Jesse McCartney,Stephanie Lemelin,Khary Payton,Jason Spisak,Kevin Michael Richardson,Zehra Fazal,Troy Baker,Bruce Greenwood,Phil LaMarr,Crispin Freeman,Lacey Chabert,Greg Cipes,Dee Bradley Baker,Grey Griffin,Masasa Moyo,Yuri Lowenthal",Teenage superheroes strive to prove themselves as members of the Justice League.,Young Justice,2010–2023
United States,Adam Reed,22,144,"Animation,Action,Comedy,Back to top",English,,461,8.6,14,"H. Jon Benjamin,Judy Greer,Amber Nash,Chris Parnell,Aisha Tyler,Lucky Yates,Jessica Walter,Adam Reed,Dave Willis,George Coe,Tom Kane,Z. Gillispie,Kayvan Novak,Christian Slater,Maggie Wheeler,Stephen Tobolowsky,Jeffrey Tambor,Peter Newman",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,Archer,2009–2023
Japan,,24,66,"Animation,Action,Adventure,Back to top","Japanese,English",Original title: Kimetsu no Yaiba,175,8.6,4,"Natsuki Hanae,Zach Aguilar,Abby Trott,Akari Kitô,Yoshitsugu Matsuoka,Hiro Shimono,Aleks Le,Bryce Papenbrook,Gui Niang,Lin Hu,You-Wu-Yue-Shan,Shinya Takahashi,Ray Chase,Katsuyuki Konishi,Doug Erholtz,Toshiyuki Morikawa,Kengo Kawanishi,Erica Lindbeck","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",Demon Slayer: Kimetsu no Yaiba,2019– 
United States,Steven Canals,1,26,"Drama,Back to top",English,,"1,477",8.6,3,"Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore,Angel Bismark,Billy Porter,Hailie Sahar,Dyllon Burnside,Jason A. Rodriguez,Ryan Jamaal Swain,Jeremy McClain,Angelica Ross,Sandra Bernhard,Alexia Garcia,Jiggly Caliente,Jack Mizrahi,Leiomy Maldonado,Evan Peters,Charlayne Woodard","In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",Pose,2018–2021
United States,Joel Hodgson,32,199,"Comedy,Sci-Fi,Back to top",English,,"2,038",8.6,11,"Joel Hodgson,Michael J. Nelson,Trace Beaulieu,Kevin Murphy,Jim Mallon,Frank Conniff,Mary Jo Pehl,Bill Corbett,Patrick Brantseg,Alexandra Carr,Paul Chaplin,J. Elvis Weinstein,Bridget Jones,Beez McKeever,Peter Rudrud,Bradley J. Keely,Nathan Molstead,Timothy Scott","In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.",Mystery Science Theater 3000,1988–1999
United Kingdom,,3,6,"Comedy,Back to top",English,,"4,588",8.6,1 Season,"Rowan Atkinson,Tony Robinson,Hugh Laurie,Helen Atkinson Wood,Robbie Coltrane,Hugh Paddick,Miranda Richardson,Stephen Fry,Tim McInnerny,Kenneth Connor,Vincent Hanna,Warren Clarke,Nigel Planer,Denis Lill,Lee Cornes,Gertan Klauber,Chris Barrie,Ben Elton","In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",Blackadder the Third,1987
United Kingdom,Rowan Atkinson,25,15,"Comedy,Family,Back to top",English,,"1,564",8.6,1 Season,"Rowan Atkinson,Matilda Ziegler,Robin Driscoll,Matthew Ashforde,Roger Sloman,Susie McKenna,Nick Hancock,C.J. Allen,Rupert Vansittart,Howard Goodall,Hugo Mendez,Christopher Driscoll,Rupert Bates,Paul Bown,Dave O'Higgins,Angus Deayton,Richard Wilson,Michael Fenton Stevens","Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",Mr. Bean,1990–1995
United States,Leslie Greif,0,10,"Biography,Drama,Back to top",English,,599,8.6,1 Season,"Miles Teller,Matthew Goode,Dan Fogler,Burn Gorman,Colin Hanks,Giovanni Ribisi,Juno Temple,Jake Cannavale,Lou Ferrigno,Josh Zuckerman,Anthony Ippolito,Meredith Garretson,Patrick Gallo,Joseph Russo,Anthony Skordi,Eric Balfour,Paul McCrane,Annie Funke",Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,The Offer,2022
South Korea,,10,19,"Adventure,Comedy,Romance,Back to top",Korean,Original title: Sarangeui bulsachak,815,8.7,1 Season,"Hyun Bin,Son Ye-jin,Seo Ji-hye,Kim Jung-hyun,Yang Kyung-won,Yoo Su-bin,Lee Sin-young,Tang Joon-sang,Kim Sun-young,Kim Jung-nan,Jang So-yeon,Cha Cheong-hwa,Oh Man-seok,Go Gyu-pil,Park Hyoung-soo,Park Myeong-hoon,Hwang Woo-seul-hye,Kim Young-min",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,Crash Landing on You,2019–2020
United Kingdom,,40,70,"Crime,Drama,Mystery,Back to top","English,French",,293,8.6,13,"David Suchet,Hugh Fraser,Philip Jackson,Pauline Moran,David Yelland,Zoë Wanamaker,Richard Bebb,George Little,Phillip Manikum,Jona Jones,Patrick Ryecart,Nicholas Farrell,Barbara Barnes,John Carson,Richard Hope,Richard Durden,Sean Pertwee,Beatie Edney","Hercule Poirot, a famous Belgian detective, who has an impeccable knack for getting embroiled in a mystery, solves crimes along with Captain Hastings and Scotland Yard Chief Inspector James Japp.",Poirot,1989–2013
United States,Joe Penhall,1,19,"Crime,Drama,Mystery,Back to top",English,,304,8.6,2,"Jonathan Groff,Holt McCallany,Anna Torv,Hannah Gross,Sonny Valicenti,Stacey Roca,Joe Tuttle,Zachary Scott Ross,Cotter Smith,Albert Jones,Lauren Glazier,Michael Cerveris,Dohn Norwood,Gareth Williams,June Carryl,Cameron Britton,Nate Corddry,Sierra Aylina McClain","In the late 1970s, two FBI agents broaden the realm of criminal science by investigating the psychology behind murder and end up getting too close to real-life monsters.",Mindhunter,2017–2019
Italy,Leonardo Fasoli,55,58,"Crime,Drama,Thriller,Back to top","Italian,Neapolitan",Original title: Gomorra: La serie,"1,042",8.6,5,"Salvatore Esposito,Marco D'Amore,Ivana Lotito,Cristiana Dell'Anna,Alessandro Palladino,Fortunato Cerlino,Arturo Muselli,Roberto Oliveri,Brian Flaccus,Fabio De Caro,Cristina Donadio,Christian Giroso,Giovanni Buselli,Vincenzo Fabricino,Riccardo Ciccarelli,Carmine Monaco,Lino Musella,Gianni Spezzano",Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,Gomorrah,2014–2021
United Kingdom,John Hawkesworth,0,13,"Crime,Drama,Mystery,Back to top",English,,"3,644",8.7,2,"Jeremy Brett,Edward Hardwicke,Rosalie Williams,Colin Jeavons,Denis Lill,Harry Andrews,Eric Sykes,Alan Howard,Clive Francis,Eric Porter,James Hazeldine,Paul Williamson,Freddie Jones,Charles Gray,Denis Quilley,Peter Barkworth,Patricia Hodge,Eleanor David","Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",The Return of Sherlock Holmes,1986–1988
Japan,Haruichi Furudate,24,89,"Animation,Comedy,Drama,Back to top",Japanese,Original title: Haikyuu!!,"1,004",8.7,4,"Ayumu Murase,Kaito Ishikawa,Yu Hayashi,Satoshi Hino,Miyu Irino,Kôki Uchiyama,Sôma Saitô,Nobuhiko Okamoto,Yoshimasa Hosoya,Hiroshi Kamiya,Toshiki Masuda,Bryson Baugus,Adam Gibbs,Gabriel Regojo,Scott Gibbs,Greg Cote,Justin Doran,Blake Shepard","Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",Haikyu!!,2014–2020
India,Sameer Saxena,30,12,"Comedy,Drama,Family,Back to top",Hindi,,,9.0,2,"Vishesh Bansal,Mona Singh,Prasad Reddy,Akarsh Khurana,Ahan Nirban,Ruhi Khan,Hetal Gada,Anngad Raaj,Rajesh Kumar,Juhi Parmar,Veena Mehta,Revathi Pillai,Nishkarsh Dixit,Jinal Jain,Brij Bhushan Shukla,Mukesh Bitra,Pravin Waghmare,Subodh Gulati",Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,Yeh Meri Family,2018–2023
United Kingdom,,56,6,"Comedy,Back to top",English,,"3,767",8.6,1 Season,"Rowan Atkinson,Tony Robinson,Tim McInnerny,Miranda Richardson,Stephen Fry,Patsy Byrne,Tony Aitken,Hugh Laurie,Tom Baker,Miriam Margolyes,Ronald Lacey,Gabrielle Glaister,Holly de Jong,Rik Mayall,Simon Jones,Cassie Stuart,Bill Wallis,Max Harvey","In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",Blackadder II,1986
United States,,24,4,"Adventure,Drama,Western,Back to top",English,,881,8.7,1 Season,"Robert Duvall,Tommy Lee Jones,Danny Glover,Diane Lane,Robert Urich,Frederic Forrest,D.B. Sweeney,Ricky Schroder,Anjelica Huston,Chris Cooper,Timothy Scott,Glenne Headly,Barry Corbin,William Sanderson,Barry Tubb,Gavan O'Herlihy,Steve Buscemi,Frederick Coffin",Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,Lonesome Dove,1989
United States,,39,12,"Documentary,Biography,Crime,Back to top",English,,"2,101",8.6,2,"Andrew Jarecki,Robert Durst,J. Patrick Burns,Gary Napoli,Jeanine Pirro,Michael Simon Hall,Dick DeGuerin,Debra Kay Anderson,Kevin J. Hynes,Chelsea Gonzalez,Marc Smerling,Susan Berman,Sareb Kaufman,Alexander Norton,Ellen Strauss,Gilberte Najamy,Jeszenia Jimenez,Cody Cazalas","Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",The Jinx: The Life and Deaths of Robert Durst,2015–2024
United States,Drew Goddard,54,39,"Action,Crime,Drama,Back to top","English,Spanish,Mandarin,Japanese,Russian",,317,8.6,3,"Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,Elden Henson,Royce Johnson,Geoffrey Cantor,Jay Ali,Jon Bernthal,Stephen Rider,Wilson Bethel,Ayelet Zurer,Peter McRobbie,Amy Rutberg,Elodie Yung,Toby Leonard Moore,Joanne Whalley,Vondie Curtis-Hall,Bob Gunton","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",Daredevil,2015–2018
United States,Pendleton Ward,11,289,"Animation,Action,Adventure,Back to top","English,Korean",,450,8.6,10,"John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walch,Niki Yang,Pendleton Ward,Dee Bradley Baker,Maria Bamford,Steve Little,Olivia Olson,Kent Osborne,Cole Sanchez,Polly Lou Livingston,Jessica DiCicco,Andy Milonakis,Jackie Buscarino,Tom Herpich,Justin Roiland","A 12-year-old boy and his best friend, a wise 28-year-old dog with magical powers, go on a series of surreal adventures in a remote future.",Adventure Time,2010–2018
Sweden,Måns Mårlind,1,38,"Crime,Mystery,Thriller,Back to top","Swedish,Danish",Original title: Bron/Broen,669,8.6,4,"Sofia Helin,Rafael Pettersson,Sarah Boberg,Candice van Litsenborgh,Dag Malmberg,Kim Bodnia,Puk Scharbau,Thure Lindhardt,Lars Simonsen,Gabriel Flores Jair,Henrik Lundström,Maria Kulle,Julie Carlsen,Emil Birk Hartmann,Anette Lindbäck,Said William Legue,Kristina Brändén Whitaker,Lotte Munk","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",The Bridge,2011–2018
United States,Genndy Tartakovsky,22,21,"Animation,Action,Adventure,Back to top","English,Norse, Old,Arabic,Irish Gaelic",,586,8.7,3,"Aaron LaPlante,Laëtitia Eïdo,Fred Tatasciore,Imari Williams,Amina Koroma,Hillary Hawkins,Tom Kenny,Jon Olson,Amanda Troop,Jacob Dudman,Adam Fergus,MyAnna Buring,Giles Matthey,Dave Fennoy,Ike Amadi,Darin De Paul,Jeremy Crutchley,Noah Kaye Bentley",A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,Primal,2019– 
United Kingdom,Russell T. Davies,0,5,"Comedy,Drama,History,Back to top",English,,"2,040",8.7,1 Season,"Olly Alexander,Nathaniel Curtis,Shaun Dooley,Omari Douglas,Lydia West,Keeley Hawes,Neil Ashton,Callum Scott Howells,Toto Bruin,David Carlyle,Tracy-Ann Oberman,Delroy Brown,Shaniqua Okwok,Michelle Greenidge,Andria Doherty,Paul Candelent,Stephen Fry,Ken Christiansen",The lives of a group of friends living in 1980s London are irreparably changed by the AIDS crisis.,It's a Sin,2021
United States,,3,412,"Adventure,Fantasy,Back to top",English,,"1,849",9.2,3,"Matthew Mercer,Liam O'Brien,Marisha Ray,Sam Riegel,Laura Bailey,Taliesin Jaffe,Travis Willingham,Ashley Johnson,Zachary K. Eubank,Orion Acaba,Robbie Daymond,Brian W. Foster,Mary Elizabeth McGlynn,Aabria Iyengar,Erika Ishii,Ashly Burch,Christian Navarro,Will Friedle","A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.",Critical Role,2015– 
Japan,Gorô Taniguchi,24,54,"Animation,Action,Drama,Back to top",Japanese,Original title: Code Geass: Hangyaku no Lelouch,"1,171",8.7,2,"Jun Fukuyama,Takahiro Sakurai,Johnny Yong Bosch,Yukana,Ami Koshimizu,Yuri Lowenthal,Kate Higgins,Karen Strassman,Brian Beacock,Noriaki Sugiyama,Tetsu Shiratori,Akeno Watanabe,Liam O'Brien,Sayaka Ôhara,Kikuko Inoue,Mitsuaki Madono,Kirk Thornton,Deborah Sale Butler","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",Code Geass,2006–2008
United States,Chris Carter,45,217,"Crime,Drama,Mystery,Back to top",English,Original title: The X Files,100,8.6,11,"David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis,Robert Patrick,Tom Braidwood,Bruce Harwood,Dean Haglund,Annabeth Gish,Nicholas Lea,James Pickens Jr.,Sheila Larken,Chris Owens,Don S. Williams,Steven Williams,Jerry Hardin,Laurie Holden,Rebecca Toolan","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",The X-Files,1993–2018
United States,David Milch,55,36,"Crime,Drama,History,Back to top","English,Irish Gaelic",,383,8.6,3,"Timothy Olyphant,Ian McShane,Molly Parker,Brad Dourif,W. Earl Brown,John Hawkes,Paula Malcomson,Dayton Callie,Leon Rippy,William Sanderson,Robin Weigert,Sean Bridgers,Bree Seanna Wall,Jim Beaver,Jeffrey Jones,Kim Dickens,Powers Boothe,Titus Welliver","A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",Deadwood,2004–2006
